762.1022,NaN,1017.239,NaN,1282.097,NaN,1625.962,NaN,2030.507,NaN,2367.801,NaN,2882.085,NaN,3367.1,NaN,3806.209,NaN,4323.324,NaN,4508.256,NaN,4910.163,NaN,5361.643,NaN,5876.758,NaN,6150.899,NaN,6553.014,NaN,6968.536,NaN,7398.428,NaN,7759.303,NaN,8033.182,NaN,8536.052,NaN,8828.548,NaN,9125.32,NaN,9563.689,NaN,9905.091,NaN,10361.43,NaN,10746.23,NaN,11140.76,NaN,11564.07,NaN,120277.58,NaN,12361.95,NaN,12774.99,NaN,13164.43,NaN,13569.17,NaN
0,19.49,0,20.26,0,21.63,0,18.83,0,20.66,0,20.17,0,24,0,21.09,0,21.32,0,23.27,0,23.13,0,22.63,0,19.87,0,20.37,0,20.14,0,20.14,0,20.14,0,21.3,0,20.15,0,19.36,0,22.42,0,21.81,0,22.43,0,22.55,0,18.82,0,21.4,0,24,0,24,0,14.48,0,16.57,0,16.88,0,16.63,0,24,0,24
5.97,19.33,6,20.28,5.99,21.52,5.99,18.94,6,20.75,5.96,20.18,0.1,20.51,5.99,21.04,5.98,21.36,5.99,23.33,5.96,23.14,5.96,22.82,5.98,19.76,5.99,20.44,5.97,20.1,5.96,20.12,5.98,20,5.81,19.29,5.92,20.53,5.85,19.25,5.85,22.4,5.96,21.83,5.97,22.66,5.96,22.4,5.95,17.69,5.96,21.05,0.1,15.78,0.1,15.47,5.82,14.86,5.92,16.86,5.93,16.92,5.96,16.56,0.1,12.42,0.1,12.51
11.93,19.29,11.99,20.38,11.99,21.67,11.98,19.02,12,21.01,11.91,20.08,5.97,20.51,11.97,21.08,11.96,21.23,11.99,23.42,11.93,23.2,11.92,22.92,11.96,19.75,11.97,20.52,11.94,20.09,11.91,20.02,11.95,19.84,11.61,17.11,11.85,20.5,11.7,19.15,11.7,22.06,11.92,21.9,11.94,23.16,11.92,20.47,11.89,17.06,11.91,20.98,5.87,15.84,5.97,15.45,11.64,15.15,11.85,16.17,11.85,16.22,11.93,16.36,5.86,12.16,5.86,12.27
17.9,19.14,17.99,20.43,17.98,21.69,17.96,19,18,21.27,17.87,19.89,11.94,20.5,17.96,21.05,17.95,21.09,17.98,23.46,17.89,23.08,17.88,22.92,17.94,19.72,17.96,20.52,17.91,20.01,17.87,19.93,17.93,19.69,17.42,15.42,17.77,19.83,17.54,19.43,17.55,21.77,17.88,20.71,17.91,22.61,17.88,17.35,17.84,16.45,17.87,20.87,11.74,15.85,11.95,15.28,17.47,14.88,17.77,14.34,17.78,14.69,17.89,15.94,11.72,11.98,11.72,11.92
23.87,18.94,23.98,20.36,23.98,21.75,23.95,19.07,24,21.24,23.83,19.68,17.91,20.45,23.95,21.01,23.93,21.15,23.97,23.43,23.86,23.07,23.84,22.85,23.92,19.64,23.94,20.47,23.88,19.89,23.83,20.05,23.9,19.59,23.23,14.61,23.69,19.13,23.39,19.47,23.4,20.73,23.84,18.39,23.88,20.55,23.84,16.08,23.79,15.29,23.82,20.09,17.61,15.71,17.92,14.7,23.29,13.29,23.69,12.33,23.7,12.28,23.85,15.31,17.58,11.74,17.59,11.31
29.83,18.69,29.98,20.3,29.97,21.81,29.94,19.1,30,21.14,29.79,19.52,23.88,20.44,29.93,20.88,29.91,21.24,29.96,23.38,29.82,23.12,29.81,22.77,29.89,19.54,29.93,20.41,29.84,19.82,29.78,20.05,29.88,19.42,29.04,13.79,29.62,18.09,29.24,18.4,29.25,18.76,29.8,16.2,29.85,19.29,29.8,14.87,29.73,13.64,29.78,18.44,23.47,15.08,23.9,13.23,29.11,11.42,29.62,9.93,29.63,9.23,29.82,13.67,23.44,11.53,23.45,10.77
35.8,18.57,35.98,20.2,35.97,21.72,35.93,19.13,36,20.77,35.74,19.39,29.85,20.4,35.92,20.78,35.89,21.26,35.96,23.44,35.79,23.11,35.77,22.64,35.87,19.39,35.91,20.3,35.81,19.82,35.74,19.94,35.85,19.23,34.84,11.29,35.54,16.8,35.09,16.86,35.11,16.02,35.76,15.21,35.82,18.38,35.76,13.43,35.68,11.59,35.73,15.97,29.34,13.52,29.87,11.63,34.93,9.35,35.54,6.72,35.55,5.89,35.78,11.15,29.29,10.99,29.31,10.34
41.77,18.49,41.97,20.06,41.96,21.66,41.92,19.14,42,20.37,41.7,19.7,35.82,20.34,41.91,20.72,41.88,21.2,41.95,23.59,41.75,23.1,41.73,22.53,41.85,19.26,41.9,20.16,41.78,19.81,41.7,19.84,41.83,19.12,40.65,7.69,41.46,14.96,40.93,15.85,40.96,14.26,41.72,13.88,41.79,16.06,41.72,11.92,41.62,9.54,41.69,12.75,35.21,11.25,35.84,9.58,40.76,6.52,40.28,4.16,36.53,5.45,41.74,8.7,35.15,10.02,35.17,8.99
47.73,18.34,47.97,19.91,47.96,21.47,47.9,19.21,48,20.16,47.66,20.18,41.79,20.29,47.89,20.72,47.86,21.23,47.94,23.71,47.72,23.14,47.69,22.46,47.83,19.06,47.88,20.02,47.75,19.8,47.65,19.75,47.8,18.94,46.46,4.52,47.39,13.2,46.78,15.03,46.81,13.79,47.68,12.33,47.76,13.3,47.68,9.94,47.57,7.24,47.64,8.9,41.08,8.66,41.82,6.48,43.94,3.94,41.36,2.83,37.33,5.19,47.7,6.07,41.01,9.68,41.03,6.37
