new X, new Z
5.980,21.360
11.960,21.230
17.950,21.090
23.930,21.150
29.910,21.240
35.890,21.260
41.880,21.200
47.860,21.230
53.840,21.170
59.820,21.150
65.810,21.140
71.790,21.170
77.770,21.120
83.750,21.200
89.740,21.120
95.720,21.020
101.700,20.810
107.680,20.600
113.670,20.480
119.650,20.340
125.630,20.220
131.610,20.070
137.600,19.790
143.580,19.510
149.560,19.300
155.540,19.130
161.530,19.020
167.510,18.800
173.490,18.630
179.470,18.390
185.460,18.310
191.440,18.230
197.420,18.260
203.400,18.260
209.390,18.220
215.370,18.200
221.350,18.070
227.330,17.890
233.310,17.890
239.300,17.910
245.280,17.860
251.260,17.720
257.240,17.530
263.230,17.430
269.210,17.360
275.190,17.280
281.170,17.200
287.160,16.830
293.140,16.410
299.120,16.150
305.100,15.910
311.090,15.810
317.070,15.660
323.050,15.400
329.030,15.100
335.020,14.830
341.000,14.490
346.980,14.260
352.960,13.840
358.950,11.810
364.094,5.426
368.064,4.300
388.231,4.300
399.655,-1.412
400.155,-1.412
402.155,-2.412
404.155,-2.412
406.155,-1.412
406.655,-1.412
418.079,4.300
438.247,4.300
442.700,7.200
448.680,9.690
454.660,10.930
460.650,11.490
466.630,13.560
472.610,16.200
478.590,17.780
484.580,18.960
490.560,19.770
496.540,20.690
502.520,22.410
508.510,24.070
514.490,24.580
520.470,24.480
526.450,24.480
532.440,24.520
538.420,24.790
544.400,25.090
550.380,25.190
556.370,25.160
562.350,24.960
568.330,24.770
574.310,24.480
